cell_name,hierarchy_cell_name,instance_path,label_text,label_layer,label_datatype,origin_x,origin_y,conductive_component_id,is_canonical,is_lowercase_alias,is_internal_device_terminal,duplication_source,exact_duplicate_count,same_component_distinct_label_names
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,VDD,11,0,0.344,1.82,contact_64,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VDD|vdd
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,PINV_NW250_PW500_L50,VSS,11,0,0.344,0.0,contact_70,True,False,False,TOP_WRAPPER_CANONICAL,1,S|VSS|gnd
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_core,PINV_NW250_PW500_L50_core[0],A,11,0,0.14,0.8475,contact_76,True,False,False,CORE_CANONICAL_DUPLICATE,2,A|G
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_core,PINV_NW250_PW500_L50_core[0],Z,11,0,0.3725,0.8475,contact_58,True,False,False,CORE_CANONICAL_DUPLICATE,2,D|Z
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_core,PINV_NW250_PW500_L50_core[0],gnd,11,0,0.344,0.0,contact_70,False,True,False,CORE_ALIAS,1,S|VSS|gnd
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_core,PINV_NW250_PW500_L50_core[0],vdd,11,0,0.344,1.82,contact_64,False,True,False,CORE_ALIAS,1,S|VDD|vdd
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,PINV_NW250_PW500_L50_core[0]/PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p[0],G,9,0,0.2325,1.445,contact_76,False,False,True,PTX_INTERNAL_TERMINAL,1,A|G
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,PINV_NW250_PW500_L50_core[0]/PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p[0],S,11,0,0.125,1.445,contact_64,False,False,True,PTX_INTERNAL_TERMINAL,1,S|VDD|vdd
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,PINV_NW250_PW500_L50_core[0]/PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p[0],D,11,0,0.34,1.445,contact_58,False,False,True,PTX_INTERNAL_TERMINAL,1,D|Z
PINV_NW250_PW500_L50,PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,PINV_NW250_PW500_L50_core[0]/PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p[1],G,9,0,0.2325,0.25,contact_76,False,False,True,PTX_INTERNAL_TERMINAL,1,A|G
